Cancer site,Sex,Age,Years,RegionID,Region,5-year RSR (%),SE,Lower 95%CI,Upper 95%CI
All cancer,Females,all ages (15 to 99),2014-18,35.0,Ontario,67.8,0.2,67.5,68.2
All cancer,Both sexes,15 to 29,2014-18,3501.0,Erie St Clair,85.3,3.1,78,90.4
All cancer,Both sexes,15 to 29,2014-18,3502.0,South West,88.3,2.4,82.7,92.1
All cancer,Both sexes,15 to 29,2014-18,3503.0,Waterloo Wellington,91.3,2.2,85.7,94.8
All cancer,Both sexes,15 to 29,2014-18,3504.0,Hamilton Niagara Haldimand Brant,91.5,1.7,87.5,94.2
All cancer,Both sexes,15 to 29,2014-18,3505.0,Central West,95.2,1.5,91.1,97.5
All cancer,Both sexes,15 to 29,2014-18,3506.0,Mississauga Halton,92.4,1.6,88.5,95
All cancer,Both sexes,15 to 29,2014-18,3507.0,Toronto Central,93.3,1.4,89.9,95.6
All cancer,Both sexes,15 to 29,2014-18,3508.0,Central,90.8,1.5,87.5,93.3
All cancer,Both sexes,15 to 29,2014-18,3509.0,Central East,92.5,1.4,89.1,94.9
All cancer,Both sexes,15 to 29,2014-18,3510.0,South East,90.8,3.2,82.2,95.3
All cancer,Both sexes,15 to 29,2014-18,3511.0,Champlain,89.4,1.9,84.8,92.6
All cancer,Both sexes,15 to 29,2014-18,3512.0,North Simcoe Muskoka,93.4,2.7,85.4,97.1
All cancer,Both sexes,15 to 29,2014-18,3513.0,North East,82.6,3.6,74.1,88.6
All cancer,Both sexes,15 to 29,2014-18,3514.0,North West,86,5.4,71,93.6
All cancer,Both sexes,15 to 29,2014-18,35.0,Ontario,91,0.5,89.9,92
All cancer,Males,15 to 29,2014-18,3501.0,Erie St Clair,82.5,4.9,70.3,90.1
All cancer,Males,15 to 29,2014-18,3502.0,South West,87.5,3.5,78.7,92.8
All cancer,Males,15 to 29,2014-18,3503.0,Waterloo Wellington,93.3,3.1,83.9,97.3
All cancer,Males,15 to 29,2014-18,3504.0,Hamilton Niagara Haldimand Brant,90.9,2.4,84.9,94.5
All cancer,Males,15 to 29,2014-18,3505.0,Central West,95.8,2.2,88.4,98.5
All cancer,Males,15 to 29,2014-18,3506.0,Mississauga Halton,90.2,2.7,83.4,94.3
All cancer,Males,15 to 29,2014-18,3507.0,Toronto Central,90.8,2.5,84.6,94.5
All cancer,Males,15 to 29,2014-18,3508.0,Central,88.4,2.4,82.7,92.3
All cancer,Males,15 to 29,2014-18,3509.0,Central East,92,2.2,86.4,95.4
All cancer,Males,15 to 29,2014-18,3510.0,South East,89.7,5,74.1,96.1
All cancer,Males,15 to 29,2014-18,3511.0,Champlain,90.6,2.7,83.7,94.6
All cancer,Males,15 to 29,2014-18,3512.0,North Simcoe Muskoka,90.4,4.9,74.9,96.5
All cancer,Males,15 to 29,2014-18,3513.0,North East,74.8,6.5,59.4,85.1
All cancer,Males,15 to 29,2014-18,3514.0,North West,86,7.8,61.4,95.5
All cancer,Males,15 to 29,2014-18,35.0,Ontario,89.8,0.8,88,91.3
All cancer,Females,15 to 29,2014-18,3501.0,Erie St Clair,87.6,3.9,77.4,93.4
All cancer,Females,15 to 29,2014-18,3502.0,South West,89.1,3.2,80.9,93.9
All cancer,Females,15 to 29,2014-18,3503.0,Waterloo Wellington,89.8,3.2,81.4,94.5
All cancer,Females,15 to 29,2014-18,3504.0,Hamilton Niagara Haldimand Brant,92.1,2.3,86,95.6
All cancer,Females,15 to 29,2014-18,3505.0,Central West,94.5,2.2,87.9,97.5
All cancer,Females,15 to 29,2014-18,3506.0,Mississauga Halton,94.1,2,88.7,96.9
All cancer,Females,15 to 29,2014-18,3507.0,Toronto Central,95.2,1.6,90.8,97.5
All cancer,Females,15 to 29,2014-18,3508.0,Central,92.8,1.8,88.3,95.6
All cancer,Females,15 to 29,2014-18,3509.0,Central East,92.8,1.9,88,95.8
All cancer,Females,15 to 29,2014-18,3510.0,South East,91.9,4,79.5,96.9
All cancer,Females,15 to 29,2014-18,3511.0,Champlain,88.1,2.8,81.2,92.6
All cancer,Females,15 to 29,2014-18,3512.0,North Simcoe Muskoka,95.7,3,83.5,98.9
All cancer,Females,15 to 29,2014-18,3513.0,North East,88.9,3.8,78.7,94.3
All cancer,Females,15 to 29,2014-18,3514.0,North West,86,7.6,62.3,95.3
All cancer,Females,15 to 29,2014-18,35.0,Ontario,92.1,0.7,90.6,93.3
All cancer,Both sexes,30 to 39,2014-18,3501.0,Erie St Clair,89.2,2,84.5,92.5
All cancer,Both sexes,30 to 39,2014-18,3502.0,South West,87,1.8,82.9,90.2
All cancer,Both sexes,30 to 39,2014-18,3503.0,Waterloo Wellington,86.6,1.9,82.5,89.8
All cancer,Both sexes,30 to 39,2014-18,3504.0,Hamilton Niagara Haldimand Brant,86.3,1.5,82.9,89
All cancer,Both sexes,30 to 39,2014-18,3505.0,Central West,88.9,1.6,85.3,91.7
All cancer,Both sexes,30 to 39,2014-18,3506.0,Mississauga Halton,86.4,1.6,83.1,89.2
All cancer,Both sexes,30 to 39,2014-18,3507.0,Toronto Central,90.3,1.1,87.9,92.3
All cancer,Both sexes,30 to 39,2014-18,3508.0,Central,90.2,1.1,87.9,92.1
All cancer,Both sexes,30 to 39,2014-18,3509.0,Central East,86.8,1.4,83.8,89.2
All cancer,Both sexes,30 to 39,2014-18,3510.0,South East,81.9,3.2,74.6,87.3
All cancer,Both sexes,30 to 39,2014-18,3511.0,Champlain,83.9,1.7,80.3,86.9
All cancer,Both sexes,30 to 39,2014-18,3512.0,North Simcoe Muskoka,88,2.4,82.3,92
All cancer,Both sexes,30 to 39,2014-18,3513.0,North East,86.2,2.4,80.6,90.3
All cancer,Both sexes,30 to 39,2014-18,3514.0,North West,78.4,4.8,67.2,86.1
All cancer,Both sexes,30 to 39,2014-18,35.0,Ontario,87.5,0.4,86.5,88.3
All cancer,Males,30 to 39,2014-18,3501.0,Erie St Clair,89.9,3.3,81,94.7
All cancer,Males,30 to 39,2014-18,3502.0,South West,89.5,2.7,82.8,93.7
All cancer,Males,30 to 39,2014-18,3503.0,Waterloo Wellington,85.9,3.2,78.2,91
All cancer,Males,30 to 39,2014-18,3504.0,Hamilton Niagara Haldimand Brant,83.1,2.8,76.7,87.8
All cancer,Males,30 to 39,2014-18,3505.0,Central West,82,3.5,73.8,87.9
All cancer,Males,30 to 39,2014-18,3506.0,Mississauga Halton,83.3,3.1,76.2,88.5
All cancer,Males,30 to 39,2014-18,3507.0,Toronto Central,88.1,2,83.5,91.5
All cancer,Males,30 to 39,2014-18,3508.0,Central,86.9,2.2,82,90.6
All cancer,Males,30 to 39,2014-18,3509.0,Central East,82,2.6,76.2,86.5
All cancer,Males,30 to 39,2014-18,3510.0,South East,76.2,5.6,63.1,85.2
All cancer,Males,30 to 39,2014-18,3511.0,Champlain,82.2,3.2,75,87.5
All cancer,Males,30 to 39,2014-18,3512.0,North Simcoe Muskoka,82.4,5.3,69,90.4
All cancer,Males,30 to 39,2014-18,3513.0,North East,81.1,4.9,69.3,88.7
All cancer,Males,30 to 39,2014-18,3514.0,North West,74.4,8.6,53,87.1
All cancer,Males,30 to 39,2014-18,35.0,Ontario,84.6,0.8,82.8,86.2
All cancer,Females,30 to 39,2014-18,3501.0,Erie St Clair,88.8,2.5,82.9,92.8
All cancer,Females,30 to 39,2014-18,3502.0,South West,85.9,2.4,80.5,89.9
All cancer,Females,30 to 39,2014-18,3503.0,Waterloo Wellington,86.9,2.3,81.7,90.7
All cancer,Females,30 to 39,2014-18,3504.0,Hamilton Niagara Haldimand Brant,88.1,1.8,84.1,91.2
All cancer,Females,30 to 39,2014-18,3505.0,Central West,91.3,1.7,87.2,94.1
All cancer,Females,30 to 39,2014-18,3506.0,Mississauga Halton,87.8,1.8,83.8,90.9
All cancer,Females,30 to 39,2014-18,3507.0,Toronto Central,91.6,1.3,88.6,93.8
All cancer,Females,30 to 39,2014-18,3508.0,Central,91.7,1.2,89,93.8
All cancer,Females,30 to 39,2014-18,3509.0,Central East,89.2,1.5,85.8,91.9
All cancer,Females,30 to 39,2014-18,3510.0,South East,84.8,4,74.9,91
All cancer,Females,30 to 39,2014-18,3511.0,Champlain,84.6,2,80.3,88.1
All cancer,Females,30 to 39,2014-18,3512.0,North Simcoe Muskoka,90.8,2.5,84.5,94.6
All cancer,Females,30 to 39,2014-18,3513.0,North East,88.2,2.9,81.2,92.7
All cancer,Females,30 to 39,2014-18,3514.0,North West,80,5.8,65.6,88.9
All cancer,Females,30 to 39,2014-18,35.0,Ontario,88.9,0.5,87.8,89.9
All cancer,Both sexes,40 to 49,2014-18,3501.0,Erie St Clair,80.2,1.7,76.6,83.2
All cancer,Both sexes,40 to 49,2014-18,3502.0,South West,82.7,1.4,79.8,85.3
All cancer,Both sexes,40 to 49,2014-18,3503.0,Waterloo Wellington,80.4,1.5,77.2,83.2
All cancer,Both sexes,40 to 49,2014-18,3504.0,Hamilton Niagara Haldimand Brant,80.3,1.1,78,82.4
All cancer,Both sexes,40 to 49,2014-18,3505.0,Central West,84,1.3,81.3,86.3
All cancer,Both sexes,40 to 49,2014-18,3506.0,Mississauga Halton,86,1,83.9,87.8
All cancer,Both sexes,40 to 49,2014-18,3507.0,Toronto Central,87,1,85,88.8
All cancer,Both sexes,40 to 49,2014-18,3508.0,Central,87,0.8,85.3,88.4
All cancer,Both sexes,40 to 49,2014-18,3509.0,Central East,84.7,1,82.8,86.5
All cancer,Both sexes,40 to 49,2014-18,3510.0,South East,77.6,2.2,73,81.5
All cancer,Both sexes,40 to 49,2014-18,3511.0,Champlain,82.2,1.1,79.8,84.3
All cancer,Both sexes,40 to 49,2014-18,3512.0,North Simcoe Muskoka,82.6,1.9,78.4,86
All cancer,Both sexes,40 to 49,2014-18,3513.0,North East,81,1.9,77,84.3
All cancer,Both sexes,40 to 49,2014-18,3514.0,North West,76.3,3.2,69.4,81.8
All cancer,Both sexes,40 to 49,2014-18,35.0,Ontario,83.6,0.3,82.9,84.2
All cancer,Males,40 to 49,2014-18,3501.0,Erie St Clair,75.2,3,68.8,80.5
All cancer,Males,40 to 49,2014-18,3502.0,South West,76.4,2.5,70.9,80.9
All cancer,Males,40 to 49,2014-18,3503.0,Waterloo Wellington,73.6,2.9,67.4,78.8
All cancer,Males,40 to 49,2014-18,3504.0,Hamilton Niagara Haldimand Brant,73,2.2,68.5,77
All cancer,Males,40 to 49,2014-18,3505.0,Central West,78.8,2.5,73.5,83.2
All cancer,Males,40 to 49,2014-18,3506.0,Mississauga Halton,81.8,2,77.5,85.4
All cancer,Males,40 to 49,2014-18,3507.0,Toronto Central,82,1.9,77.9,85.4
All cancer,Males,40 to 49,2014-18,3508.0,Central,79.7,1.7,76.2,82.8
All cancer,Males,40 to 49,2014-18,3509.0,Central East,78.6,1.9,74.5,82.2
All cancer,Males,40 to 49,2014-18,3510.0,South East,71.8,3.8,63.7,78.5
All cancer,Males,40 to 49,2014-18,3511.0,Champlain,74.9,2.2,70.3,78.8
All cancer,Males,40 to 49,2014-18,3512.0,North Simcoe Muskoka,74.8,3.7,66.6,81.2
All cancer,Males,40 to 49,2014-18,3513.0,North East,75.7,3.4,68.3,81.5
All cancer,Males,40 to 49,2014-18,3514.0,North West,59.3,6.3,45.8,70.5
All cancer,Males,40 to 49,2014-18,35.0,Ontario,77.1,0.7,75.8,78.4
All cancer,Females,40 to 49,2014-18,3501.0,Erie St Clair,83,2,78.8,86.5
All cancer,Females,40 to 49,2014-18,3502.0,South West,86.5,1.6,83.1,89.3
All cancer,Females,40 to 49,2014-18,3503.0,Waterloo Wellington,84,1.7,80.3,87.1
All cancer,Females,40 to 49,2014-18,3504.0,Hamilton Niagara Haldimand Brant,84.1,1.3,81.4,86.5
All cancer,Females,40 to 49,2014-18,3505.0,Central West,86.4,1.5,83.2,89.1
All cancer,Females,40 to 49,2014-18,3506.0,Mississauga Halton,87.8,1.1,85.5,89.9
All cancer,Females,40 to 49,2014-18,3507.0,Toronto Central,89.4,1.1,87,91.3
All cancer,Females,40 to 49,2014-18,3508.0,Central,90.1,0.8,88.3,91.6
All cancer,Females,40 to 49,2014-18,3509.0,Central East,87.5,1.1,85.3,89.4
All cancer,Females,40 to 49,2014-18,3510.0,South East,81.1,2.6,75.5,85.6
All cancer,Females,40 to 49,2014-18,3511.0,Champlain,86.4,1.3,83.7,88.7
All cancer,Females,40 to 49,2014-18,3512.0,North Simcoe Muskoka,86.4,2.1,81.6,90.1
All cancer,Females,40 to 49,2014-18,3513.0,North East,84.1,2.2,79.2,87.9
All cancer,Females,40 to 49,2014-18,3514.0,North West,84.2,3.4,76.2,89.7
All cancer,Females,40 to 49,2014-18,35.0,Ontario,86.8,0.4,86.1,87.6
All cancer,Both sexes,50 to 59,2014-18,3501.0,Erie St Clair,72.8,1.1,70.5,74.9
All cancer,Both sexes,50 to 59,2014-18,3502.0,South West,74,1,72.1,75.8
All cancer,Both sexes,50 to 59,2014-18,3503.0,Waterloo Wellington,75.2,1.1,73,77.3
All cancer,Both sexes,50 to 59,2014-18,3504.0,Hamilton Niagara Haldimand Brant,73.8,0.8,72.3,75.3
All cancer,Both sexes,50 to 59,2014-18,3505.0,Central West,79.9,1,77.8,81.7
All cancer,Both sexes,50 to 59,2014-18,3506.0,Mississauga Halton,82,0.8,80.4,83.5
All cancer,Both sexes,50 to 59,2014-18,3507.0,Toronto Central,78.1,0.9,76.4,79.7
All cancer,Both sexes,50 to 59,2014-18,3508.0,Central,81.6,0.6,80.3,82.9
All cancer,Both sexes,50 to 59,2014-18,3509.0,Central East,76.4,0.7,74.9,77.7
All cancer,Both sexes,50 to 59,2014-18,3510.0,South East,70.3,1.3,67.7,72.8
All cancer,Both sexes,50 to 59,2014-18,3511.0,Champlain,75.7,0.8,74,77.2
All cancer,Both sexes,50 to 59,2014-18,3512.0,North Simcoe Muskoka,77.1,1.3,74.5,79.4
All cancer,Both sexes,50 to 59,2014-18,3513.0,North East,67.9,1.2,65.4,70.2
All cancer,Both sexes,50 to 59,2014-18,3514.0,North West,70.3,1.9,66.3,73.9
All cancer,Both sexes,50 to 59,2014-18,35.0,Ontario,76.3,0.2,75.8,76.8
All cancer,Males,50 to 59,2014-18,3501.0,Erie St Clair,67.8,1.7,64.4,71
All cancer,Males,50 to 59,2014-18,3502.0,South West,71.2,1.4,68.3,73.9
All cancer,Males,50 to 59,2014-18,3503.0,Waterloo Wellington,69.1,1.7,65.5,72.3
All cancer,Males,50 to 59,2014-18,3504.0,Hamilton Niagara Haldimand Brant,70.8,1.2,68.4,73.1
All cancer,Males,50 to 59,2014-18,3505.0,Central West,76.6,1.6,73.4,79.5
All cancer,Males,50 to 59,2014-18,3506.0,Mississauga Halton,78.7,1.3,76,81.1
All cancer,Males,50 to 59,2014-18,3507.0,Toronto Central,72.7,1.4,70,75.3
All cancer,Males,50 to 59,2014-18,3508.0,Central,78.4,1.1,76.3,80.4
All cancer,Males,50 to 59,2014-18,3509.0,Central East,71.6,1.2,69.3,73.8
All cancer,Males,50 to 59,2014-18,3510.0,South East,65.4,2,61.4,69.1
All cancer,Males,50 to 59,2014-18,3511.0,Champlain,74.5,1.2,72,76.8
All cancer,Males,50 to 59,2014-18,3512.0,North Simcoe Muskoka,75.7,1.9,71.7,79.3
All cancer,Males,50 to 59,2014-18,3513.0,North East,63.7,1.8,60,67.1
All cancer,Males,50 to 59,2014-18,3514.0,North West,61.6,3.2,55.1,67.5
All cancer,Males,50 to 59,2014-18,35.0,Ontario,72.5,0.4,71.7,73.3
All cancer,Females,50 to 59,2014-18,3501.0,Erie St Clair,77.4,1.5,74.3,80.1
All cancer,Females,50 to 59,2014-18,3502.0,South West,76.5,1.3,74,78.9
All cancer,Females,50 to 59,2014-18,3503.0,Waterloo Wellington,80.4,1.4,77.6,82.9
All cancer,Females,50 to 59,2014-18,3504.0,Hamilton Niagara Haldimand Brant,76.4,1,74.3,78.3
All cancer,Females,50 to 59,2014-18,3505.0,Central West,82.6,1.3,79.9,84.9
All cancer,Females,50 to 59,2014-18,3506.0,Mississauga Halton,84.8,1,82.7,86.7
All cancer,Females,50 to 59,2014-18,3507.0,Toronto Central,82.7,1.1,80.5,84.7
All cancer,Females,50 to 59,2014-18,3508.0,Central,83.9,0.8,82.3,85.4
All cancer,Females,50 to 59,2014-18,3509.0,Central East,79.9,0.9,78.1,81.6
All cancer,Females,50 to 59,2014-18,3510.0,South East,74.3,1.7,70.9,77.4
All cancer,Females,50 to 59,2014-18,3511.0,Champlain,76.6,1.1,74.4,78.7
All cancer,Females,50 to 59,2014-18,3512.0,North Simcoe Muskoka,78.1,1.7,74.6,81.2
All cancer,Females,50 to 59,2014-18,3513.0,North East,71.9,1.6,68.6,75
All cancer,Females,50 to 59,2014-18,3514.0,North West,76.6,2.4,71.5,80.9
All cancer,Females,50 to 59,2014-18,35.0,Ontario,79.4,0.3,78.8,80.1
All cancer,Both sexes,60 to 69,2014-18,3501.0,Erie St Clair,65,1,63.1,66.9
All cancer,Both sexes,60 to 69,2014-18,3502.0,South West,67.8,0.8,66.2,69.3
All cancer,Both sexes,60 to 69,2014-18,3503.0,Waterloo Wellington,69.7,1,67.7,71.7
All cancer,Both sexes,60 to 69,2014-18,3504.0,Hamilton Niagara Haldimand Brant,66.3,0.7,65,67.6
All cancer,Both sexes,60 to 69,2014-18,3505.0,Central West,73.8,1,71.7,75.7
All cancer,Both sexes,60 to 69,2014-18,3506.0,Mississauga Halton,73.9,0.8,72.3,75.5
All cancer,Both sexes,60 to 69,2014-18,3507.0,Toronto Central,71.5,0.8,69.9,73.1
All cancer,Both sexes,60 to 69,2014-18,3508.0,Central,77.9,0.6,76.6,79.1
All cancer,Both sexes,60 to 69,2014-18,3509.0,Central East,69.6,0.7,68.2,70.8
All cancer,Both sexes,60 to 69,2014-18,3510.0,South East,66.7,1,64.7,68.7
All cancer,Both sexes,60 to 69,2014-18,3511.0,Champlain,70.9,0.7,69.4,72.2
All cancer,Both sexes,60 to 69,2014-18,3512.0,North Simcoe Muskoka,69.8,1.1,67.6,71.9
All cancer,Both sexes,60 to 69,2014-18,3513.0,North East,64.7,1,62.8,66.7
All cancer,Both sexes,60 to 69,2014-18,3514.0,North West,61.2,1.7,57.8,64.4
All cancer,Both sexes,60 to 69,2014-18,35.0,Ontario,69.9,0.2,69.5,70.4
All cancer,Males,60 to 69,2014-18,3501.0,Erie St Clair,63.3,1.3,60.6,65.9
All cancer,Males,60 to 69,2014-18,3502.0,South West,67.5,1.1,65.3,69.6
All cancer,Males,60 to 69,2014-18,3503.0,Waterloo Wellington,68.4,1.4,65.4,71.1
All cancer,Males,60 to 69,2014-18,3504.0,Hamilton Niagara Haldimand Brant,65.2,0.9,63.3,67
All cancer,Males,60 to 69,2014-18,3505.0,Central West,71,1.4,68.1,73.6
All cancer,Males,60 to 69,2014-18,3506.0,Mississauga Halton,74,1.2,71.6,76.2
All cancer,Males,60 to 69,2014-18,3507.0,Toronto Central,69.9,1.1,67.6,72.1
All cancer,Males,60 to 69,2014-18,3508.0,Central,77.9,0.9,76.1,79.6
All cancer,Males,60 to 69,2014-18,3509.0,Central East,68.1,0.9,66.3,69.9
All cancer,Males,60 to 69,2014-18,3510.0,South East,64.7,1.4,61.8,67.4
All cancer,Males,60 to 69,2014-18,3511.0,Champlain,70.3,1,68.3,72.2
All cancer,Males,60 to 69,2014-18,3512.0,North Simcoe Muskoka,69.4,1.5,66.3,72.2
All cancer,Males,60 to 69,2014-18,3513.0,North East,62.2,1.4,59.4,64.8
All cancer,Males,60 to 69,2014-18,3514.0,North West,59.4,2.4,54.5,63.9
All cancer,Males,60 to 69,2014-18,35.0,Ontario,68.8,0.3,68.1,69.4
All cancer,Females,60 to 69,2014-18,3501.0,Erie St Clair,67.2,1.4,64.3,69.8
All cancer,Females,60 to 69,2014-18,3502.0,South West,68.2,1.2,65.9,70.5
All cancer,Females,60 to 69,2014-18,3503.0,Waterloo Wellington,71.3,1.4,68.4,74
All cancer,Females,60 to 69,2014-18,3504.0,Hamilton Niagara Haldimand Brant,67.7,1,65.7,69.5
All cancer,Females,60 to 69,2014-18,3505.0,Central West,77,1.4,74.1,79.7
All cancer,Females,60 to 69,2014-18,3506.0,Mississauga Halton,73.9,1.2,71.5,76.2
All cancer,Females,60 to 69,2014-18,3507.0,Toronto Central,73.4,1.1,71.1,75.6
All cancer,Females,60 to 69,2014-18,3508.0,Central,77.8,0.9,76,79.5
All cancer,Females,60 to 69,2014-18,3509.0,Central East,71.1,0.9,69.2,72.9
All cancer,Females,60 to 69,2014-18,3510.0,South East,69.1,1.5,66.1,71.9
All cancer,Females,60 to 69,2014-18,3511.0,Champlain,71.5,1,69.4,73.5
All cancer,Females,60 to 69,2014-18,3512.0,North Simcoe Muskoka,70.4,1.6,67.1,73.3
All cancer,Females,60 to 69,2014-18,3513.0,North East,67.7,1.4,64.8,70.4
All cancer,Females,60 to 69,2014-18,3514.0,North West,63,2.4,58.1,67.5
All cancer,Females,60 to 69,2014-18,35.0,Ontario,71.3,0.3,70.6,71.9
All cancer,Both sexes,70 to 79,2014-18,3501.0,Erie St Clair,57.5,1.2,55.2,59.7
All cancer,Both sexes,70 to 79,2014-18,3502.0,South West,60.6,1,58.7,62.4
All cancer,Both sexes,70 to 79,2014-18,3503.0,Waterloo Wellington,60.2,1.2,57.7,62.5
All cancer,Both sexes,70 to 79,2014-18,3504.0,Hamilton Niagara Haldimand Brant,61.6,0.8,60,63.1
All cancer,Both sexes,70 to 79,2014-18,3505.0,Central West,63.2,1.3,60.7,65.7
All cancer,Both sexes,70 to 79,2014-18,3506.0,Mississauga Halton,67.4,1,65.3,69.5
All cancer,Both sexes,70 to 79,2014-18,3507.0,Toronto Central,65.6,1,63.6,67.5
All cancer,Both sexes,70 to 79,2014-18,3508.0,Central,68.1,0.8,66.4,69.7
All cancer,Both sexes,70 to 79,2014-18,3509.0,Central East,61.7,0.8,60.1,63.3
All cancer,Both sexes,70 to 79,2014-18,3510.0,South East,60.1,1.2,57.7,62.5
All cancer,Both sexes,70 to 79,2014-18,3511.0,Champlain,61.5,0.9,59.7,63.2
All cancer,Both sexes,70 to 79,2014-18,3512.0,North Simcoe Muskoka,65,1.3,62.4,67.5
All cancer,Both sexes,70 to 79,2014-18,3513.0,North East,57.9,1.2,55.6,60.1
All cancer,Both sexes,70 to 79,2014-18,3514.0,North West,54.7,2,50.6,58.6
All cancer,Both sexes,70 to 79,2014-18,35.0,Ontario,62.4,0.3,61.9,63
All cancer,Males,70 to 79,2014-18,3501.0,Erie St Clair,57.4,1.6,54.2,60.4
All cancer,Males,70 to 79,2014-18,3502.0,South West,62.1,1.3,59.4,64.6
All cancer,Males,70 to 79,2014-18,3503.0,Waterloo Wellington,60.3,1.8,56.8,63.7
All cancer,Males,70 to 79,2014-18,3504.0,Hamilton Niagara Haldimand Brant,62.2,1.1,60,64.4
All cancer,Males,70 to 79,2014-18,3505.0,Central West,65.1,1.8,61.5,68.5
All cancer,Males,70 to 79,2014-18,3506.0,Mississauga Halton,68.7,1.5,65.7,71.5
All cancer,Males,70 to 79,2014-18,3507.0,Toronto Central,64.4,1.4,61.6,67.1
All cancer,Males,70 to 79,2014-18,3508.0,Central,69,1.1,66.7,71.2
