Cancer site,Sex,Age,Years,RegionID,Region,5-year RSR (%),SE,Lower 95%CI,Upper 95%CI
All cancer,Both sexes,all ages (15 to 99),2014-18,3556.0,Porcupine,63.6,1.6,60.3,66.6
All cancer,Both sexes,all ages (15 to 99),2014-18,3557.0,Renfrew County,62,1.4,59.3,64.7
All cancer,Both sexes,all ages (15 to 99),2014-18,3558.0,Eastern Ontario,60.4,1,58.4,62.2
All cancer,Both sexes,all ages (15 to 99),2014-18,3560.0,Simcoe Muskoka,67.7,0.6,66.5,68.9
All cancer,Both sexes,all ages (15 to 99),2014-18,3561.0,Sudbury,61.1,1,59.1,62.9
All cancer,Both sexes,all ages (15 to 99),2014-18,3562.0,Thunder Bay District,61.4,1.1,59.1,63.5
All cancer,Both sexes,all ages (15 to 99),2014-18,3563.0,Timiskaming,60.8,2.3,56.1,65.2
All cancer,Both sexes,all ages (15 to 99),2014-18,3565.0,Region of Waterloo,65.9,0.7,64.5,67.2
All cancer,Both sexes,all ages (15 to 99),2014-18,3566.0,Wellington-Dufferin-Guelph,65.9,0.9,64,67.8
All cancer,Both sexes,all ages (15 to 99),2014-18,3568.0,Windsor-Essex County,63.3,0.7,61.8,64.6
All cancer,Both sexes,all ages (15 to 99),2014-18,3570.0,York Region,73.3,0.5,72.3,74.3
All cancer,Both sexes,all ages (15 to 99),2014-18,3595.0,Toronto,69.5,0.3,68.9,70.1
All cancer,Both sexes,all ages (15 to 99),2014-18,35.0,All Ontario,66.9,0.1,66.6,67.1
All cancer,Males,all ages (15 to 99),2014-18,3526.0,Algoma,59.6,1.7,56.2,62.8
All cancer,Males,all ages (15 to 99),2014-18,3527.0,Brant County,60.1,1.9,56.4,63.6
All cancer,Males,all ages (15 to 99),2014-18,3530.0,Durham Region,66.1,0.9,64.3,67.7
All cancer,Males,all ages (15 to 99),2014-18,3533.0,Grey-Bruce,64.9,1.4,62,67.6
All cancer,Males,all ages (15 to 99),2014-18,3534.0,Haldimand-Norfolk,62.4,1.8,58.8,65.8
All cancer,Males,all ages (15 to 99),2014-18,3535.0,Haliburton Kawartha Pine Ridge,61.8,1.3,59.1,64.4
All cancer,Males,all ages (15 to 99),2014-18,3536.0,Halton Region,71,1,69.1,72.9
All cancer,Males,all ages (15 to 99),2014-18,3537.0,Hamilton,62.2,0.9,60.3,64
All cancer,Males,all ages (15 to 99),2014-18,3538.0,Hastings Prince Edward Counties,59.3,1.5,56.3,62.1
All cancer,Males,all ages (15 to 99),2014-18,3539.0,Huron County,62.6,2.5,57.5,67.2
All cancer,Males,all ages (15 to 99),2014-18,3540.0,Chatham-Kent,59.2,2,55.3,63
All cancer,Males,all ages (15 to 99),2014-18,3541.0,Kingston Frontenac Lennox Addington,61.5,1.5,58.5,64.3
All cancer,Males,all ages (15 to 99),2014-18,3542.0,Lambton,60.8,1.6,57.5,63.9
All cancer,Males,all ages (15 to 99),2014-18,3543.0,Leeds Grenville and Lanark,63.4,1.5,60.5,66.3
All cancer,Males,all ages (15 to 99),2014-18,3544.0,Middlesex-London,64.4,1,62.4,66.4
All cancer,Males,all ages (15 to 99),2014-18,3546.0,Niagara Region,63.7,0.9,61.8,65.5
All cancer,Males,all ages (15 to 99),2014-18,3547.0,North Bay Parry Sound,60.6,1.7,57.1,63.9
All cancer,Males,all ages (15 to 99),2014-18,3549.0,Northwestern,49.5,2.7,44.2,54.6
All cancer,Males,all ages (15 to 99),2014-18,3551.0,Ottawa,70,0.7,68.5,71.5
All cancer,Males,all ages (15 to 99),2014-18,3575.0,Southwestern,66,1.4,63.2,68.8
All cancer,Males,all ages (15 to 99),2014-18,3553.0,Peel,68.9,0.7,67.5,70.3
All cancer,Males,all ages (15 to 99),2014-18,3554.0,Perth,61.3,2.5,56.2,65.9
All cancer,Males,all ages (15 to 99),2014-18,3555.0,Peterborough,57.9,1.7,54.5,61
All cancer,Males,all ages (15 to 99),2014-18,3556.0,Porcupine,62.4,2.2,57.8,66.6
All cancer,Males,all ages (15 to 99),2014-18,3557.0,Renfrew County,58.9,2.1,54.8,62.8
All cancer,Males,all ages (15 to 99),2014-18,3558.0,Eastern Ontario,58.8,1.4,56.1,61.5
All cancer,Males,all ages (15 to 99),2014-18,3560.0,Simcoe Muskoka,67,0.9,65.2,68.7
All cancer,Males,all ages (15 to 99),2014-18,3561.0,Sudbury,59.6,1.4,56.8,62.3
All cancer,Males,all ages (15 to 99),2014-18,3562.0,Thunder Bay District,58.9,1.7,55.6,62.1
All cancer,Males,all ages (15 to 99),2014-18,3563.0,Timiskaming,59.9,3.2,53.3,66
All cancer,Males,all ages (15 to 99),2014-18,3565.0,Region of Waterloo,63.5,1,61.4,65.4
All cancer,Males,all ages (15 to 99),2014-18,3566.0,Wellington-Dufferin-Guelph,63.6,1.4,60.8,66.2
All cancer,Males,all ages (15 to 99),2014-18,3568.0,Windsor-Essex County,61.4,1,59.4,63.4
All cancer,Males,all ages (15 to 99),2014-18,3570.0,York Region,72.5,0.7,71.1,73.8
All cancer,Males,all ages (15 to 99),2014-18,3595.0,Toronto,67.9,0.4,67,68.8
All cancer,Males,all ages (15 to 99),2014-18,35.0,All Ontario,65.6,0.2,65.2,66
All cancer,Females,all ages (15 to 99),2014-18,3526.0,Algoma,65.3,1.6,62.1,68.3
All cancer,Females,all ages (15 to 99),2014-18,3527.0,Brant County,64.1,1.8,60.5,67.5
All cancer,Females,all ages (15 to 99),2014-18,3530.0,Durham Region,68,0.8,66.3,69.7
All cancer,Females,all ages (15 to 99),2014-18,3533.0,Grey-Bruce,68.6,1.4,65.8,71.3
All cancer,Females,all ages (15 to 99),2014-18,3534.0,Haldimand-Norfolk,63.8,1.8,60.3,67.2
All cancer,Females,all ages (15 to 99),2014-18,3535.0,Haliburton Kawartha Pine Ridge,64.9,1.3,62.2,67.4
All cancer,Females,all ages (15 to 99),2014-18,3536.0,Halton Region,71.8,0.9,70,73.6
All cancer,Females,all ages (15 to 99),2014-18,3537.0,Hamilton,64.3,0.9,62.5,65.9
All cancer,Females,all ages (15 to 99),2014-18,3538.0,Hastings Prince Edward Counties,64,1.5,61.1,66.8
All cancer,Females,all ages (15 to 99),2014-18,3539.0,Huron County,65.2,2.4,60.1,69.7
All cancer,Females,all ages (15 to 99),2014-18,3540.0,Chatham-Kent,65.9,1.9,62.1,69.4
All cancer,Females,all ages (15 to 99),2014-18,3541.0,Kingston Frontenac Lennox Addington,66.6,1.4,63.8,69.3
All cancer,Females,all ages (15 to 99),2014-18,3542.0,Lambton,63.6,1.7,60.2,66.8
All cancer,Females,all ages (15 to 99),2014-18,3543.0,Leeds Grenville and Lanark,67.3,1.4,64.5,70
All cancer,Females,all ages (15 to 99),2014-18,3544.0,Middlesex-London,65.6,1,63.7,67.5
All cancer,Females,all ages (15 to 99),2014-18,3546.0,Niagara Region,65.4,0.9,63.6,67.1
All cancer,Females,all ages (15 to 99),2014-18,3547.0,North Bay Parry Sound,63.5,1.7,60.1,66.6
All cancer,Females,all ages (15 to 99),2014-18,3549.0,Northwestern,56.5,2.6,51.3,61.4
All cancer,Females,all ages (15 to 99),2014-18,3551.0,Ottawa,68,0.7,66.6,69.4
All cancer,Females,all ages (15 to 99),2014-18,3575.0,Southwestern,63.5,1.4,60.7,66.3
All cancer,Females,all ages (15 to 99),2014-18,3553.0,Peel,69.7,0.7,68.4,71
All cancer,Females,all ages (15 to 99),2014-18,3554.0,Perth,65.5,2.4,60.7,69.9
All cancer,Females,all ages (15 to 99),2014-18,3555.0,Peterborough,64.2,1.5,61.2,66.9
All cancer,Females,all ages (15 to 99),2014-18,3556.0,Porcupine,63.7,2.3,59.1,68
All cancer,Females,all ages (15 to 99),2014-18,3557.0,Renfrew County,63.9,1.9,60.1,67.5
All cancer,Females,all ages (15 to 99),2014-18,3558.0,Eastern Ontario,61.6,1.4,58.9,64.3
All cancer,Females,all ages (15 to 99),2014-18,3560.0,Simcoe Muskoka,68.1,0.8,66.4,69.7
All cancer,Females,all ages (15 to 99),2014-18,3561.0,Sudbury,62.2,1.4,59.5,64.8
All cancer,Females,all ages (15 to 99),2014-18,3562.0,Thunder Bay District,62.7,1.5,59.6,65.6
All cancer,Females,all ages (15 to 99),2014-18,3563.0,Timiskaming,60.3,3.3,53.4,66.5
All cancer,Females,all ages (15 to 99),2014-18,3565.0,Region of Waterloo,67.5,0.9,65.6,69.3
All cancer,Females,all ages (15 to 99),2014-18,3566.0,Wellington-Dufferin-Guelph,68.3,1.3,65.7,70.7
All cancer,Females,all ages (15 to 99),2014-18,3568.0,Windsor-Essex County,64.8,1,62.8,66.7
All cancer,Females,all ages (15 to 99),2014-18,3570.0,York Region,73.5,0.7,72.1,74.8
All cancer,Females,all ages (15 to 99),2014-18,3595.0,Toronto,70.7,0.4,69.9,71.5
All cancer,Females,all ages (15 to 99),2014-18,35.0,All Ontario,67.8,0.2,67.5,68.2
All cancer,Both sexes,15 to 29,2014-18,3526.0,Algoma,78.7,8,57.8,90.1
All cancer,Both sexes,15 to 29,2014-18,3527.0,Brant County,95.7,4.3,72.5,99.4
All cancer,Both sexes,15 to 29,2014-18,3530.0,Durham Region,92.6,2.2,86.8,95.9
All cancer,Both sexes,15 to 29,2014-18,3533.0,Grey-Bruce,92.2,4.4,77.4,97.4
All cancer,Both sexes,15 to 29,2014-18,3534.0,Haldimand-Norfolk,100,0,suppressed,suppressed
All cancer,Both sexes,15 to 29,2014-18,3535.0,Haliburton Kawartha Pine Ridge,97.7,2.5,82.3,99.7
All cancer,Both sexes,15 to 29,2014-18,3536.0,Halton Region,94.5,2.1,88.4,97.4
All cancer,Both sexes,15 to 29,2014-18,3537.0,Hamilton,90.3,2.8,83,94.5
All cancer,Both sexes,15 to 29,2014-18,3538.0,Hastings Prince Edward Counties,89.6,5.8,70.6,96.6
All cancer,Both sexes,15 to 29,2014-18,3539.0,Huron County,85.4,9.7,52.4,96.2
All cancer,Both sexes,15 to 29,2014-18,3540.0,Chatham-Kent,85.9,9.4,53.6,96.3
All cancer,Both sexes,15 to 29,2014-18,3541.0,Kingston Frontenac Lennox Addington,86.6,5.7,70.4,94.3
All cancer,Both sexes,15 to 29,2014-18,3542.0,Lambton,84,9.8,52.3,95.4
All cancer,Both sexes,15 to 29,2014-18,3543.0,Leeds Grenville and Lanark,92.7,5.1,73.4,98.1
All cancer,Both sexes,15 to 29,2014-18,3544.0,Middlesex-London,89.2,3.2,81.1,93.9
All cancer,Both sexes,15 to 29,2014-18,3546.0,Niagara Region,86,3.7,76.9,91.7
All cancer,Both sexes,15 to 29,2014-18,3547.0,North Bay Parry Sound,90.4,6.7,65.4,97.6
All cancer,Both sexes,15 to 29,2014-18,3549.0,Northwestern,suppressed,suppressed,suppressed,suppressed
All cancer,Both sexes,15 to 29,2014-18,3551.0,Ottawa,91.9,2,86.8,95
All cancer,Both sexes,15 to 29,2014-18,3575.0,Southwestern,81.3,7.1,62.3,91.3
All cancer,Both sexes,15 to 29,2014-18,3553.0,Peel,94.8,1.3,91.5,96.8
All cancer,Both sexes,15 to 29,2014-18,3554.0,Perth,94.6,5.3,67.4,99.2
All cancer,Both sexes,15 to 29,2014-18,3555.0,Peterborough,88.1,5.9,70.2,95.6
All cancer,Both sexes,15 to 29,2014-18,3556.0,Porcupine,87.7,6.7,66.1,95.9
All cancer,Both sexes,15 to 29,2014-18,3557.0,Renfrew County,85.7,7.9,61,95.3
All cancer,Both sexes,15 to 29,2014-18,3558.0,Eastern Ontario,82.2,6.2,66,91.1
All cancer,Both sexes,15 to 29,2014-18,3560.0,Simcoe Muskoka,91.7,2.9,83.7,95.9
All cancer,Both sexes,15 to 29,2014-18,3561.0,Sudbury,78.3,6.9,60.9,88.6
All cancer,Both sexes,15 to 29,2014-18,3562.0,Thunder Bay District,93.8,4.5,75.9,98.5
All cancer,Both sexes,15 to 29,2014-18,3563.0,Timiskaming,suppressed,suppressed,suppressed,suppressed
All cancer,Both sexes,15 to 29,2014-18,3565.0,Region of Waterloo,91.1,2.7,84.1,95.1
All cancer,Both sexes,15 to 29,2014-18,3566.0,Wellington-Dufferin-Guelph,88.5,4.6,75.6,94.8
All cancer,Both sexes,15 to 29,2014-18,3568.0,Windsor-Essex County,85.5,3.5,76.9,91.1
All cancer,Both sexes,15 to 29,2014-18,3570.0,York Region,91.3,1.8,86.9,94.2
All cancer,Both sexes,15 to 29,2014-18,3595.0,Toronto,92.4,1,90.1,94.2
All cancer,Both sexes,15 to 29,2014-18,35.0,All Ontario,91,0.5,89.9,92
All cancer,Males,15 to 29,2014-18,3526.0,Algoma,suppressed,suppressed,suppressed,suppressed
All cancer,Males,15 to 29,2014-18,3527.0,Brant County,92.4,7.4,56.2,98.9
All cancer,Males,15 to 29,2014-18,3530.0,Durham Region,94.5,2.8,85.6,98
All cancer,Males,15 to 29,2014-18,3533.0,Grey-Bruce,87.2,8.5,57.3,96.7
All cancer,Males,15 to 29,2014-18,3534.0,Haldimand-Norfolk,100,0,suppressed,suppressed
All cancer,Males,15 to 29,2014-18,3535.0,Haliburton Kawartha Pine Ridge,95,5.1,66.7,99.4
All cancer,Males,15 to 29,2014-18,3536.0,Halton Region,90.4,3.8,79.5,95.7
All cancer,Males,15 to 29,2014-18,3537.0,Hamilton,91.1,3.9,79.4,96.3
All cancer,Males,15 to 29,2014-18,3538.0,Hastings Prince Edward Counties,100,0,suppressed,suppressed
All cancer,Males,15 to 29,2014-18,3539.0,Huron County,suppressed,suppressed,suppressed,suppressed
All cancer,Males,15 to 29,2014-18,3540.0,Chatham-Kent,suppressed,suppressed,suppressed,suppressed
All cancer,Males,15 to 29,2014-18,3541.0,Kingston Frontenac Lennox Addington,suppressed,suppressed,suppressed,suppressed
All cancer,Males,15 to 29,2014-18,3542.0,Lambton,suppressed,suppressed,suppressed,suppressed
All cancer,Males,15 to 29,2014-18,3543.0,Leeds Grenville and Lanark,suppressed,suppressed,suppressed,suppressed
All cancer,Males,15 to 29,2014-18,3544.0,Middlesex-London,83.3,6,67.5,91.9
All cancer,Males,15 to 29,2014-18,3546.0,Niagara Region,84,5.3,70.2,91.8
All cancer,Males,15 to 29,2014-18,3547.0,North Bay Parry Sound,suppressed,suppressed,suppressed,suppressed
All cancer,Males,15 to 29,2014-18,3549.0,Northwestern,suppressed,suppressed,suppressed,suppressed
All cancer,Males,15 to 29,2014-18,3551.0,Ottawa,92.7,2.7,85,96.6
All cancer,Males,15 to 29,2014-18,3575.0,Southwestern,89,7.5,62,97.2
All cancer,Males,15 to 29,2014-18,3553.0,Peel,96.6,1.6,91.7,98.6
All cancer,Males,15 to 29,2014-18,3554.0,Perth,suppressed,suppressed,suppressed,suppressed
All cancer,Males,15 to 29,2014-18,3555.0,Peterborough,82.1,9.6,53.2,94
All cancer,Males,15 to 29,2014-18,3556.0,Porcupine,suppressed,suppressed,suppressed,suppressed
All cancer,Males,15 to 29,2014-18,3557.0,Renfrew County,91.2,8.7,49.8,98.8
All cancer,Males,15 to 29,2014-18,3558.0,Eastern Ontario,85.5,7.9,60.8,95.2
All cancer,Males,15 to 29,2014-18,3560.0,Simcoe Muskoka,90.8,4.8,75.5,96.7
All cancer,Males,15 to 29,2014-18,3561.0,Sudbury,suppressed,suppressed,suppressed,suppressed
All cancer,Males,15 to 29,2014-18,3562.0,Thunder Bay District,92,8,52.6,98.9
All cancer,Males,15 to 29,2014-18,3563.0,Timiskaming,suppressed,suppressed,suppressed,suppressed
All cancer,Males,15 to 29,2014-18,3565.0,Region of Waterloo,92.8,3.6,81.1,97.4
All cancer,Males,15 to 29,2014-18,3566.0,Wellington-Dufferin-Guelph,87.3,7.2,63.9,96
All cancer,Males,15 to 29,2014-18,3568.0,Windsor-Essex County,82.6,5.7,67.8,91
All cancer,Males,15 to 29,2014-18,3570.0,York Region,87.2,3.1,79.7,92
All cancer,Males,15 to 29,2014-18,3595.0,Toronto,90.6,1.7,86.6,93.5
All cancer,Males,15 to 29,2014-18,35.0,All Ontario,89.8,0.8,88,91.3
All cancer,Females,15 to 29,2014-18,3526.0,Algoma,88.7,7.7,61,97.1
All cancer,Females,15 to 29,2014-18,3527.0,Brant County,100,0,suppressed,suppressed
All cancer,Females,15 to 29,2014-18,3530.0,Durham Region,90.9,3.4,81.5,95.7
All cancer,Females,15 to 29,2014-18,3533.0,Grey-Bruce,95.6,4.3,72.3,99.4
All cancer,Females,15 to 29,2014-18,3534.0,Haldimand-Norfolk,suppressed,suppressed,suppressed,suppressed
All cancer,Females,15 to 29,2014-18,3535.0,Haliburton Kawartha Pine Ridge,100,0,suppressed,suppressed
All cancer,Females,15 to 29,2014-18,3536.0,Halton Region,98.3,1.8,87.4,99.8
All cancer,Females,15 to 29,2014-18,3537.0,Hamilton,89.3,4.2,77.5,95.1
All cancer,Females,15 to 29,2014-18,3538.0,Hastings Prince Edward Counties,82.1,9.5,53.8,93.9
All cancer,Females,15 to 29,2014-18,3539.0,Huron County,suppressed,suppressed,suppressed,suppressed
All cancer,Females,15 to 29,2014-18,3540.0,Chatham-Kent,suppressed,suppressed,suppressed,suppressed
All cancer,Females,15 to 29,2014-18,3541.0,Kingston Frontenac Lennox Addington,95.7,4.3,72.7,99.4
All cancer,Females,15 to 29,2014-18,3542.0,Lambton,suppressed,suppressed,suppressed,suppressed
All cancer,Females,15 to 29,2014-18,3543.0,Leeds Grenville and Lanark,93.1,6.7,60,99
All cancer,Females,15 to 29,2014-18,3544.0,Middlesex-London,93.4,3.3,82.9,97.5
All cancer,Females,15 to 29,2014-18,3546.0,Niagara Region,88.8,4.8,75,95.3
All cancer,Females,15 to 29,2014-18,3547.0,North Bay Parry Sound,suppressed,suppressed,suppressed,suppressed
All cancer,Females,15 to 29,2014-18,3549.0,Northwestern,suppressed,suppressed,suppressed,suppressed
All cancer,Females,15 to 29,2014-18,3551.0,Ottawa,91,2.9,83.2,95.3
All cancer,Females,15 to 29,2014-18,3575.0,Southwestern,suppressed,suppressed,suppressed,suppressed
All cancer,Females,15 to 29,2014-18,3553.0,Peel,93.1,2,88,96.1
All cancer,Females,15 to 29,2014-18,3554.0,Perth,suppressed,suppressed,suppressed,suppressed
All cancer,Females,15 to 29,2014-18,3555.0,Peterborough,92.5,7.4,56,98.9
All cancer,Females,15 to 29,2014-18,3556.0,Porcupine,suppressed,suppressed,suppressed,suppressed
All cancer,Females,15 to 29,2014-18,3557.0,Renfrew County,suppressed,suppressed,suppressed,suppressed
All cancer,Females,15 to 29,2014-18,3558.0,Eastern Ontario,suppressed,suppressed,suppressed,suppressed
All cancer,Females,15 to 29,2014-18,3560.0,Simcoe Muskoka,92.5,3.7,81,97.1
All cancer,Females,15 to 29,2014-18,3561.0,Sudbury,82.9,7.9,60.3,93.3
All cancer,Females,15 to 29,2014-18,3562.0,Thunder Bay District,95.1,4.9,68.9,99.3
All cancer,Females,15 to 29,2014-18,3563.0,Timiskaming,suppressed,suppressed,suppressed,suppressed
All cancer,Females,15 to 29,2014-18,3565.0,Region of Waterloo,89.7,3.9,78.6,95.2
All cancer,Females,15 to 29,2014-18,3566.0,Wellington-Dufferin-Guelph,88.3,6.5,67.1,96.2
All cancer,Females,15 to 29,2014-18,3568.0,Windsor-Essex County,87.7,4.4,75.7,94
All cancer,Females,15 to 29,2014-18,3570.0,York Region,94.8,2,89,97.6
All cancer,Females,15 to 29,2014-18,3595.0,Toronto,93.8,1.3,90.8,95.9
All cancer,Females,15 to 29,2014-18,35.0,All Ontario,92.1,0.7,90.6,93.3
All cancer,Both sexes,30 to 39,2014-18,3526.0,Algoma,82.8,5.7,68.2,91.1
All cancer,Both sexes,30 to 39,2014-18,3527.0,Brant County,82,5.5,68,90.3
All cancer,Both sexes,30 to 39,2014-18,3530.0,Durham Region,86.1,2.1,81.5,89.7
All cancer,Both sexes,30 to 39,2014-18,3533.0,Grey-Bruce,86.3,4.7,73.9,93.1
All cancer,Both sexes,30 to 39,2014-18,3534.0,Haldimand-Norfolk,86.7,5.7,70.3,94.4
All cancer,Both sexes,30 to 39,2014-18,3535.0,Haliburton Kawartha Pine Ridge,86.6,4.9,73.2,93.6
All cancer,Both sexes,30 to 39,2014-18,3536.0,Halton Region,88.1,2,83.4,91.5
All cancer,Both sexes,30 to 39,2014-18,3537.0,Hamilton,86.6,2.4,81,90.7
All cancer,Both sexes,30 to 39,2014-18,3538.0,Hastings Prince Edward Counties,80.6,5.6,66.6,89.2
All cancer,Both sexes,30 to 39,2014-18,3539.0,Huron County,95.2,4.8,69.6,99.3
All cancer,Both sexes,30 to 39,2014-18,3540.0,Chatham-Kent,85.2,5.7,69.6,93.2
All cancer,Both sexes,30 to 39,2014-18,3541.0,Kingston Frontenac Lennox Addington,79.3,5.4,66,87.8
All cancer,Both sexes,30 to 39,2014-18,3542.0,Lambton,92.7,4.2,78.1,97.7
All cancer,Both sexes,30 to 39,2014-18,3543.0,Leeds Grenville and Lanark,84.4,5.4,70.2,92.2
All cancer,Both sexes,30 to 39,2014-18,3544.0,Middlesex-London,87.7,2.5,81.8,91.7
All cancer,Both sexes,30 to 39,2014-18,3546.0,Niagara Region,84.5,3,77.5,89.5
All cancer,Both sexes,30 to 39,2014-18,3547.0,North Bay Parry Sound,80.7,5.9,65.8,89.6
All cancer,Both sexes,30 to 39,2014-18,3549.0,Northwestern,suppressed,suppressed,suppressed,suppressed
All cancer,Both sexes,30 to 39,2014-18,3551.0,Ottawa,83.9,1.9,79.7,87.2
All cancer,Both sexes,30 to 39,2014-18,3575.0,Southwestern,80.5,5,68.3,88.4
All cancer,Both sexes,30 to 39,2014-18,3553.0,Peel,88.9,1.4,85.9,91.3
All cancer,Both sexes,30 to 39,2014-18,3554.0,Perth,94.8,3.6,80.5,98.7
All cancer,Both sexes,30 to 39,2014-18,3555.0,Peterborough,84.2,5.3,70.3,91.9
All cancer,Both sexes,30 to 39,2014-18,3556.0,Porcupine,90.1,5.5,71.9,96.7
All cancer,Both sexes,30 to 39,2014-18,3557.0,Renfrew County,78.9,7,61.2,89.2
All cancer,Both sexes,30 to 39,2014-18,3558.0,Eastern Ontario,88.6,4.2,77.1,94.5
All cancer,Both sexes,30 to 39,2014-18,3560.0,Simcoe Muskoka,87.4,2.3,82.1,91.2
All cancer,Both sexes,30 to 39,2014-18,3561.0,Sudbury,89.3,3.7,79.2,94.7
All cancer,Both sexes,30 to 39,2014-18,3562.0,Thunder Bay District,83.9,4.8,71.8,91.1
All cancer,Both sexes,30 to 39,2014-18,3563.0,Timiskaming,suppressed,suppressed,suppressed,suppressed
All cancer,Both sexes,30 to 39,2014-18,3565.0,Region of Waterloo,87,2.2,82,90.6
All cancer,Both sexes,30 to 39,2014-18,3566.0,Wellington-Dufferin-Guelph,85.4,3.2,77.8,90.6
All cancer,Both sexes,30 to 39,2014-18,3568.0,Windsor-Essex County,89.1,2.5,83.2,93
All cancer,Both sexes,30 to 39,2014-18,3570.0,York Region,91.2,1.3,88.1,93.5
All cancer,Both sexes,30 to 39,2014-18,3595.0,Toronto,89.2,0.8,87.4,90.7
All cancer,Both sexes,30 to 39,2014-18,35.0,All Ontario,87.5,0.4,86.5,88.3
All cancer,Males,30 to 39,2014-18,3526.0,Algoma,suppressed,suppressed,suppressed,suppressed
All cancer,Males,30 to 39,2014-18,3527.0,Brant County,81,9.4,53.8,93.1
All cancer,Males,30 to 39,2014-18,3530.0,Durham Region,82,3.8,73.1,88.1
All cancer,Males,30 to 39,2014-18,3533.0,Grey-Bruce,87.6,6.8,65.9,95.9
All cancer,Males,30 to 39,2014-18,3534.0,Haldimand-Norfolk,87.3,8.7,56.4,96.8
All cancer,Males,30 to 39,2014-18,3535.0,Haliburton Kawartha Pine Ridge,87.3,8.5,57.7,96.7
All cancer,Males,30 to 39,2014-18,3536.0,Halton Region,84.8,4,74.9,91
All cancer,Males,30 to 39,2014-18,3537.0,Hamilton,83.1,4.5,72.1,90
All cancer,Males,30 to 39,2014-18,3538.0,Hastings Prince Edward Counties,suppressed,suppressed,suppressed,suppressed
All cancer,Males,30 to 39,2014-18,3539.0,Huron County,suppressed,suppressed,suppressed,suppressed
All cancer,Males,30 to 39,2014-18,3540.0,Chatham-Kent,85.4,8,60.2,95.2
All cancer,Males,30 to 39,2014-18,3541.0,Kingston Frontenac Lennox Addington,77.1,9,53.6,89.7
All cancer,Males,30 to 39,2014-18,3542.0,Lambton,suppressed,suppressed,suppressed,suppressed
All cancer,Males,30 to 39,2014-18,3543.0,Leeds Grenville and Lanark,suppressed,suppressed,suppressed,suppressed
All cancer,Males,30 to 39,2014-18,3544.0,Middlesex-London,91.5,3.5,81.2,96.3
All cancer,Males,30 to 39,2014-18,3546.0,Niagara Region,77,6,62.5,86.5
All cancer,Males,30 to 39,2014-18,3547.0,North Bay Parry Sound,suppressed,suppressed,suppressed,suppressed
All cancer,Males,30 to 39,2014-18,3549.0,Northwestern,suppressed,suppressed,suppressed,suppressed
All cancer,Males,30 to 39,2014-18,3551.0,Ottawa,85.2,3.4,77.1,90.6
All cancer,Males,30 to 39,2014-18,3575.0,Southwestern,82.3,8.1,59.1,93
All cancer,Males,30 to 39,2014-18,3553.0,Peel,84.7,2.8,78.2,89.4
All cancer,Males,30 to 39,2014-18,3554.0,Perth,suppressed,suppressed,suppressed,suppressed
