"REF_DATE","GEO","DGUID","Sex","Primary types of cancer ","Trends","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2016A000011124","Both sexes","Total, all primary sites of cancer","Fifth trend","End year of period","Number","223","units","0","v1299910152","1.1.1.5.3","","..","","","0"
"2021","Canada","2016A000011124","Both sexes","Total, all primary sites of cancer","Latest trend","Annual percent change (APC)","Percentage","242","units","0","v1299910155","1.1.1.6.1","-2.2","","","","1"
"2021","Canada","2016A000011124","Both sexes","Total, all primary sites of cancer","Latest trend","Start year of period","Number","223","units","0","v1299910156","1.1.1.6.2","2016","","","","0"
"2021","Canada","2016A000011124","Both sexes","Total, all primary sites of cancer","Latest trend","End year of period","Number","223","units","0","v1299910157","1.1.1.6.3","2020","","","","0"
"2021","Canada","2016A000011124","Both sexes","Total, all primary sites of cancer","Overall trend since 1984","Annual percent change (APC)","Percentage","242","units","0","v1299910160","1.1.1.7.1","-1.0","","","","1"
"2021","Canada","2016A000011124","Both sexes","Total, all primary sites of cancer","Overall trend since 1984","Start year of period","Number","223","units","0","v1299910161","1.1.1.7.2","1984","","","","0"
"2021","Canada","2016A000011124","Both sexes","Total, all primary sites of cancer","Overall trend since 1984","End year of period","Number","223","units","0","v1299910162","1.1.1.7.3","2020","","","","0"
"2021","Canada","2016A000011124","Both sexes","Total, all primary sites of cancer","Overall trend within the last ten years","Annual percent change (APC)","Percentage","242","units","0","v1299910165","1.1.1.8.1","-1.7","","","","1"
"2021","Canada","2016A000011124","Both sexes","Total, all primary sites of cancer","Overall trend within the last ten years","Start year of period","Number","223","units","0","v1299910166","1.1.1.8.2","2011","","","","0"
"2021","Canada","2016A000011124","Both sexes","Total, all primary sites of cancer","Overall trend within the last ten years","End year of period","Number","223","units","0","v1299910167","1.1.1.8.3","2020","","","","0"
"2021","Canada","2016A000011124","Both sexes","Head and neck","First trend","Annual percent change (APC)","Percentage","242","units","0","v1299910170","1.1.2.1.1","-0.8","","","","1"
"2021","Canada","2016A000011124","Both sexes","Head and neck","First trend","Start year of period","Number","223","units","0","v1299910171","1.1.2.1.2","1984","","","","0"
"2021","Canada","2016A000011124","Both sexes","Head and neck","First trend","End year of period","Number","223","units","0","v1299910172","1.1.2.1.3","1991","","","","0"
"2021","Canada","2016A000011124","Both sexes","Head and neck","Second trend","Annual percent change (APC)","Percentage","242","units","0","v1299910175","1.1.2.2.1","-2.4","","","","1"
"2021","Canada","2016A000011124","Both sexes","Head and neck","Second trend","Start year of period","Number","223","units","0","v1299910176","1.1.2.2.2","1991","","","","0"
"2021","Canada","2016A000011124","Both sexes","Head and neck","Second trend","End year of period","Number","223","units","0","v1299910177","1.1.2.2.3","2009","","","","0"
"2021","Canada","2016A000011124","Both sexes","Head and neck","Third trend","Annual percent change (APC)","Percentage","242","units","0","v1299910180","1.1.2.3.1","-0.3","","","","1"
"2021","Canada","2016A000011124","Both sexes","Head and neck","Third trend","Start year of period","Number","223","units","0","v1299910181","1.1.2.3.2","2009","","","","0"
"2021","Canada","2016A000011124","Both sexes","Head and neck","Third trend","End year of period","Number","223","units","0","v1299910182","1.1.2.3.3","2020","","","","0"
"2021","Canada","2016A000011124","Both sexes","Head and neck","Fourth trend","Annual percent change (APC)","Percentage","242","units","0","v1299910185","1.1.2.4.1","","..","","","1"
"2021","Canada","2016A000011124","Both sexes","Head and neck","Fourth trend","Start year of period","Number","223","units","0","v1299910186","1.1.2.4.2","","..","","","0"
"2021","Canada","2016A000011124","Both sexes","Head and neck","Fourth trend","End year of period","Number","223","units","0","v1299910187","1.1.2.4.3","","..","","","0"
"2021","Canada","2016A000011124","Both sexes","Head and neck","Fifth trend","Annual percent change (APC)","Percentage","242","units","0","v1299910190","1.1.2.5.1","","..","","","1"
"2021","Canada","2016A000011124","Both sexes","Head and neck","Fifth trend","Start year of period","Number","223","units","0","v1299910191","1.1.2.5.2","","..","","","0"
"2021","Canada","2016A000011124","Both sexes","Head and neck","Fifth trend","End year of period","Number","223","units","0","v1299910192","1.1.2.5.3","","..","","","0"
"2021","Canada","2016A000011124","Both sexes","Head and neck","Latest trend","Annual percent change (APC)","Percentage","242","units","0","v1299910195","1.1.2.6.1","-0.3","","","","1"
"2021","Canada","2016A000011124","Both sexes","Head and neck","Latest trend","Start year of period","Number","223","units","0","v1299910196","1.1.2.6.2","2009","","","","0"
"2021","Canada","2016A000011124","Both sexes","Head and neck","Latest trend","End year of period","Number","223","units","0","v1299910197","1.1.2.6.3","2020","","","","0"
"2021","Canada","2016A000011124","Both sexes","Head and neck","Overall trend since 1984","Annual percent change (APC)","Percentage","242","units","0","v1299910200","1.1.2.7.1","-1.4","","","","1"
"2021","Canada","2016A000011124","Both sexes","Head and neck","Overall trend since 1984","Start year of period","Number","223","units","0","v1299910201","1.1.2.7.2","1984","","","","0"
"2021","Canada","2016A000011124","Both sexes","Head and neck","Overall trend since 1984","End year of period","Number","223","units","0","v1299910202","1.1.2.7.3","2020","","","","0"
"2021","Canada","2016A000011124","Both sexes","Head and neck","Overall trend within the last ten years","Annual percent change (APC)","Percentage","242","units","0","v1299910205","1.1.2.8.1","-0.3","","","","1"
"2021","Canada","2016A000011124","Both sexes","Head and neck","Overall trend within the last ten years","Start year of period","Number","223","units","0","v1299910206","1.1.2.8.2","2011","","","","0"
"2021","Canada","2016A000011124","Both sexes","Head and neck","Overall trend within the last ten years","End year of period","Number","223","units","0","v1299910207","1.1.2.8.3","2020","","","","0"
"2021","Canada","2016A000011124","Both sexes","Esophagus","First trend","Annual percent change (APC)","Percentage","242","units","0","v1299910210","1.1.3.1.1","0.8","","","","1"
"2021","Canada","2016A000011124","Both sexes","Esophagus","First trend","Start year of period","Number","223","units","0","v1299910211","1.1.3.1.2","1984","","","","0"
"2021","Canada","2016A000011124","Both sexes","Esophagus","First trend","End year of period","Number","223","units","0","v1299910212","1.1.3.1.3","1999","","","","0"
"2021","Canada","2016A000011124","Both sexes","Esophagus","Second trend","Annual percent change (APC)","Percentage","242","units","0","v1299910215","1.1.3.2.1","-0.2","","","","1"
"2021","Canada","2016A000011124","Both sexes","Esophagus","Second trend","Start year of period","Number","223","units","0","v1299910216","1.1.3.2.2","1999","","","","0"
"2021","Canada","2016A000011124","Both sexes","Esophagus","Second trend","End year of period","Number","223","units","0","v1299910217","1.1.3.2.3","2020","","","","0"
"2021","Canada","2016A000011124","Both sexes","Esophagus","Third trend","Annual percent change (APC)","Percentage","242","units","0","v1299910220","1.1.3.3.1","","..","","","1"
"2021","Canada","2016A000011124","Both sexes","Esophagus","Third trend","Start year of period","Number","223","units","0","v1299910221","1.1.3.3.2","","..","","","0"
"2021","Canada","2016A000011124","Both sexes","Esophagus","Third trend","End year of period","Number","223","units","0","v1299910222","1.1.3.3.3","","..","","","0"
"2021","Canada","2016A000011124","Both sexes","Esophagus","Fourth trend","Annual percent change (APC)","Percentage","242","units","0","v1299910225","1.1.3.4.1","","..","","","1"
"2021","Canada","2016A000011124","Both sexes","Esophagus","Fourth trend","Start year of period","Number","223","units","0","v1299910226","1.1.3.4.2","","..","","","0"
"2021","Canada","2016A000011124","Both sexes","Esophagus","Fourth trend","End year of period","Number","223","units","0","v1299910227","1.1.3.4.3","","..","","","0"
"2021","Canada","2016A000011124","Both sexes","Esophagus","Fifth trend","Annual percent change (APC)","Percentage","242","units","0","v1299910230","1.1.3.5.1","","..","","","1"
"2021","Canada","2016A000011124","Both sexes","Esophagus","Fifth trend","Start year of period","Number","223","units","0","v1299910231","1.1.3.5.2","","..","","","0"
"2021","Canada","2016A000011124","Both sexes","Esophagus","Fifth trend","End year of period","Number","223","units","0","v1299910232","1.1.3.5.3","","..","","","0"
"2021","Canada","2016A000011124","Both sexes","Esophagus","Latest trend","Annual percent change (APC)","Percentage","242","units","0","v1299910235","1.1.3.6.1","-0.2","","","","1"
"2021","Canada","2016A000011124","Both sexes","Esophagus","Latest trend","Start year of period","Number","223","units","0","v1299910236","1.1.3.6.2","1999","","","","0"
"2021","Canada","2016A000011124","Both sexes","Esophagus","Latest trend","End year of period","Number","223","units","0","v1299910237","1.1.3.6.3","2020","","","","0"
"2021","Canada","2016A000011124","Both sexes","Esophagus","Overall trend since 1984","Annual percent change (APC)","Percentage","242","units","0","v1299910240","1.1.3.7.1","0.2","","","","1"
"2021","Canada","2016A000011124","Both sexes","Esophagus","Overall trend since 1984","Start year of period","Number","223","units","0","v1299910241","1.1.3.7.2","1984","","","","0"
"2021","Canada","2016A000011124","Both sexes","Esophagus","Overall trend since 1984","End year of period","Number","223","units","0","v1299910242","1.1.3.7.3","2020","","","","0"
"2021","Canada","2016A000011124","Both sexes","Esophagus","Overall trend within the last ten years","Annual percent change (APC)","Percentage","242","units","0","v1299910245","1.1.3.8.1","-0.2","","","","1"
"2021","Canada","2016A000011124","Both sexes","Esophagus","Overall trend within the last ten years","Start year of period","Number","223","units","0","v1299910246","1.1.3.8.2","2011","","","","0"
"2021","Canada","2016A000011124","Both sexes","Esophagus","Overall trend within the last ten years","End year of period","Number","223","units","0","v1299910247","1.1.3.8.3","2020","","","","0"
"2021","Canada","2016A000011124","Both sexes","Stomach","First trend","Annual percent change (APC)","Percentage","242","units","0","v1299910250","1.1.4.1.1","-3.1","","","","1"
"2021","Canada","2016A000011124","Both sexes","Stomach","First trend","Start year of period","Number","223","units","0","v1299910251","1.1.4.1.2","1984","","","","0"
"2021","Canada","2016A000011124","Both sexes","Stomach","First trend","End year of period","Number","223","units","0","v1299910252","1.1.4.1.3","2010","","","","0"
"2021","Canada","2016A000011124","Both sexes","Stomach","Second trend","Annual percent change (APC)","Percentage","242","units","0","v1299910255","1.1.4.2.1","-2.0","","","","1"
"2021","Canada","2016A000011124","Both sexes","Stomach","Second trend","Start year of period","Number","223","units","0","v1299910256","1.1.4.2.2","2010","","","","0"
"2021","Canada","2016A000011124","Both sexes","Stomach","Second trend","End year of period","Number","223","units","0","v1299910257","1.1.4.2.3","2020","","","","0"
"2021","Canada","2016A000011124","Both sexes","Stomach","Third trend","Annual percent change (APC)","Percentage","242","units","0","v1299910260","1.1.4.3.1","","..","","","1"
"2021","Canada","2016A000011124","Both sexes","Stomach","Third trend","Start year of period","Number","223","units","0","v1299910261","1.1.4.3.2","","..","","","0"
"2021","Canada","2016A000011124","Both sexes","Stomach","Third trend","End year of period","Number","223","units","0","v1299910262","1.1.4.3.3","","..","","","0"
"2021","Canada","2016A000011124","Both sexes","Stomach","Fourth trend","Annual percent change (APC)","Percentage","242","units","0","v1299910265","1.1.4.4.1","","..","","","1"
"2021","Canada","2016A000011124","Both sexes","Stomach","Fourth trend","Start year of period","Number","223","units","0","v1299910266","1.1.4.4.2","","..","","","0"
"2021","Canada","2016A000011124","Both sexes","Stomach","Fourth trend","End year of period","Number","223","units","0","v1299910267","1.1.4.4.3","","..","","","0"
"2021","Canada","2016A000011124","Both sexes","Stomach","Fifth trend","Annual percent change (APC)","Percentage","242","units","0","v1299910270","1.1.4.5.1","","..","","","1"
"2021","Canada","2016A000011124","Both sexes","Stomach","Fifth trend","Start year of period","Number","223","units","0","v1299910271","1.1.4.5.2","","..","","","0"
"2021","Canada","2016A000011124","Both sexes","Stomach","Fifth trend","End year of period","Number","223","units","0","v1299910272","1.1.4.5.3","","..","","","0"
"2021","Canada","2016A000011124","Both sexes","Stomach","Latest trend","Annual percent change (APC)","Percentage","242","units","0","v1299910275","1.1.4.6.1","-2.0","","","","1"
"2021","Canada","2016A000011124","Both sexes","Stomach","Latest trend","Start year of period","Number","223","units","0","v1299910276","1.1.4.6.2","2010","","","","0"
"2021","Canada","2016A000011124","Both sexes","Stomach","Latest trend","End year of period","Number","223","units","0","v1299910277","1.1.4.6.3","2020","","","","0"
"2021","Canada","2016A000011124","Both sexes","Stomach","Overall trend since 1984","Annual percent change (APC)","Percentage","242","units","0","v1299910280","1.1.4.7.1","-2.8","","","","1"
"2021","Canada","2016A000011124","Both sexes","Stomach","Overall trend since 1984","Start year of period","Number","223","units","0","v1299910281","1.1.4.7.2","1984","","","","0"
"2021","Canada","2016A000011124","Both sexes","Stomach","Overall trend since 1984","End year of period","Number","223","units","0","v1299910282","1.1.4.7.3","2020","","","","0"
"2021","Canada","2016A000011124","Both sexes","Stomach","Overall trend within the last ten years","Annual percent change (APC)","Percentage","242","units","0","v1299910285","1.1.4.8.1","-2.0","","","","1"
"2021","Canada","2016A000011124","Both sexes","Stomach","Overall trend within the last ten years","Start year of period","Number","223","units","0","v1299910286","1.1.4.8.2","2011","","","","0"
"2021","Canada","2016A000011124","Both sexes","Stomach","Overall trend within the last ten years","End year of period","Number","223","units","0","v1299910287","1.1.4.8.3","2020","","","","0"
"2021","Canada","2016A000011124","Both sexes","Small intestine","First trend","Annual percent change (APC)","Percentage","242","units","0","v1299910290","1.1.5.1.1","-2.7","","","","1"
"2021","Canada","2016A000011124","Both sexes","Small intestine","First trend","Start year of period","Number","223","units","0","v1299910291","1.1.5.1.2","1984","","","","0"
"2021","Canada","2016A000011124","Both sexes","Small intestine","First trend","End year of period","Number","223","units","0","v1299910292","1.1.5.1.3","1991","","","","0"
"2021","Canada","2016A000011124","Both sexes","Small intestine","Second trend","Annual percent change (APC)","Percentage","242","units","0","v1299910295","1.1.5.2.1","1.4","","","","1"
"2021","Canada","2016A000011124","Both sexes","Small intestine","Second trend","Start year of period","Number","223","units","0","v1299910296","1.1.5.2.2","1991","","","","0"
"2021","Canada","2016A000011124","Both sexes","Small intestine","Second trend","End year of period","Number","223","units","0","v1299910297","1.1.5.2.3","2020","","","","0"
"2021","Canada","2016A000011124","Both sexes","Small intestine","Third trend","Annual percent change (APC)","Percentage","242","units","0","v1299910300","1.1.5.3.1","","..","","","1"
"2021","Canada","2016A000011124","Both sexes","Small intestine","Third trend","Start year of period","Number","223","units","0","v1299910301","1.1.5.3.2","","..","","","0"
"2021","Canada","2016A000011124","Both sexes","Small intestine","Third trend","End year of period","Number","223","units","0","v1299910302","1.1.5.3.3","","..","","","0"
"2021","Canada","2016A000011124","Both sexes","Small intestine","Fourth trend","Annual percent change (APC)","Percentage","242","units","0","v1299910305","1.1.5.4.1","","..","","","1"
"2021","Canada","2016A000011124","Both sexes","Small intestine","Fourth trend","Start year of period","Number","223","units","0","v1299910306","1.1.5.4.2","","..","","","0"
"2021","Canada","2016A000011124","Both sexes","Small intestine","Fourth trend","End year of period","Number","223","units","0","v1299910307","1.1.5.4.3","","..","","","0"
"2021","Canada","2016A000011124","Both sexes","Small intestine","Fifth trend","Annual percent change (APC)","Percentage","242","units","0","v1299910310","1.1.5.5.1","","..","","","1"
"2021","Canada","2016A000011124","Both sexes","Small intestine","Fifth trend","Start year of period","Number","223","units","0","v1299910311","1.1.5.5.2","","..","","","0"
"2021","Canada","2016A000011124","Both sexes","Small intestine","Fifth trend","End year of period","Number","223","units","0","v1299910312","1.1.5.5.3","","..","","","0"
"2021","Canada","2016A000011124","Both sexes","Small intestine","Latest trend","Annual percent change (APC)","Percentage","242","units","0","v1299910315","1.1.5.6.1","1.4","","","","1"
"2021","Canada","2016A000011124","Both sexes","Small intestine","Latest trend","Start year of period","Number","223","units","0","v1299910316","1.1.5.6.2","1991","","","","0"
"2021","Canada","2016A000011124","Both sexes","Small intestine","Latest trend","End year of period","Number","223","units","0","v1299910317","1.1.5.6.3","2020","","","","0"
"2021","Canada","2016A000011124","Both sexes","Small intestine","Overall trend since 1984","Annual percent change (APC)","Percentage","242","units","0","v1299910320","1.1.5.7.1","0.6","","","","1"
"2021","Canada","2016A000011124","Both sexes","Small intestine","Overall trend since 1984","Start year of period","Number","223","units","0","v1299910321","1.1.5.7.2","1984","","","","0"
"2021","Canada","2016A000011124","Both sexes","Small intestine","Overall trend since 1984","End year of period","Number","223","units","0","v1299910322","1.1.5.7.3","2020","","","","0"
"2021","Canada","2016A000011124","Both sexes","Small intestine","Overall trend within the last ten years","Annual percent change (APC)","Percentage","242","units","0","v1299910325","1.1.5.8.1","1.4","","","","1"
"2021","Canada","2016A000011124","Both sexes","Small intestine","Overall trend within the last ten years","Start year of period","Number","223","units","0","v1299910326","1.1.5.8.2","2011","","","","0"
"2021","Canada","2016A000011124","Both sexes","Small intestine","Overall trend within the last ten years","End year of period","Number","223","units","0","v1299910327","1.1.5.8.3","2020","","","","0"
"2021","Canada","2016A000011124","Both sexes","Colon and rectum","First trend","Annual percent change (APC)","Percentage","242","units","0","v1299910330","1.1.6.1.1","-1.3","","","","1"
"2021","Canada","2016A000011124","Both sexes","Colon and rectum","First trend","Start year of period","Number","223","units","0","v1299910331","1.1.6.1.2","1984","","","","0"
"2021","Canada","2016A000011124","Both sexes","Colon and rectum","First trend","End year of period","Number","223","units","0","v1299910332","1.1.6.1.3","2004","","","","0"
"2021","Canada","2016A000011124","Both sexes","Colon and rectum","Second trend","Annual percent change (APC)","Percentage","242","units","0","v1299910335","1.1.6.2.1","-2.0","","","","1"
"2021","Canada","2016A000011124","Both sexes","Colon and rectum","Second trend","Start year of period","Number","223","units","0","v1299910336","1.1.6.2.2","2004","","","","0"
"2021","Canada","2016A000011124","Both sexes","Colon and rectum","Second trend","End year of period","Number","223","units","0","v1299910337","1.1.6.2.3","2016","","","","0"
"2021","Canada","2016A000011124","Both sexes","Colon and rectum","Third trend","Annual percent change (APC)","Percentage","242","units","0","v1299910340","1.1.6.3.1","-3.4","","","","1"
"2021","Canada","2016A000011124","Both sexes","Colon and rectum","Third trend","Start year of period","Number","223","units","0","v1299910341","1.1.6.3.2","2016","","","","0"
"2021","Canada","2016A000011124","Both sexes","Colon and rectum","Third trend","End year of period","Number","223","units","0","v1299910342","1.1.6.3.3","2020","","","","0"
"2021","Canada","2016A000011124","Both sexes","Colon and rectum","Fourth trend","Annual percent change (APC)","Percentage","242","units","0","v1299910345","1.1.6.4.1","","..","","","1"
"2021","Canada","2016A000011124","Both sexes","Colon and rectum","Fourth trend","Start year of period","Number","223","units","0","v1299910346","1.1.6.4.2","","..","","","0"
"2021","Canada","2016A000011124","Both sexes","Colon and rectum","Fourth trend","End year of period","Number","223","units","0","v1299910347","1.1.6.4.3","","..","","","0"
"2021","Canada","2016A000011124","Both sexes","Colon and rectum","Fifth trend","Annual percent change (APC)","Percentage","242","units","0","v1299910350","1.1.6.5.1","","..","","","1"
"2021","Canada","2016A000011124","Both sexes","Colon and rectum","Fifth trend","Start year of period","Number","223","units","0","v1299910351","1.1.6.5.2","","..","","","0"
"2021","Canada","2016A000011124","Both sexes","Colon and rectum","Fifth trend","End year of period","Number","223","units","0","v1299910352","1.1.6.5.3","","..","","","0"
"2021","Canada","2016A000011124","Both sexes","Colon and rectum","Latest trend","Annual percent change (APC)","Percentage","242","units","0","v1299910355","1.1.6.6.1","-3.4","","","","1"
"2021","Canada","2016A000011124","Both sexes","Colon and rectum","Latest trend","Start year of period","Number","223","units","0","v1299910356","1.1.6.6.2","2016","","","","0"
"2021","Canada","2016A000011124","Both sexes","Colon and rectum","Latest trend","End year of period","Number","223","units","0","v1299910357","1.1.6.6.3","2020","","","","0"
"2021","Canada","2016A000011124","Both sexes","Colon and rectum","Overall trend since 1984","Annual percent change (APC)","Percentage","242","units","0","v1299910360","1.1.6.7.1","-1.8","","","","1"
"2021","Canada","2016A000011124","Both sexes","Colon and rectum","Overall trend since 1984","Start year of period","Number","223","units","0","v1299910361","1.1.6.7.2","1984","","","","0"
"2021","Canada","2016A000011124","Both sexes","Colon and rectum","Overall trend since 1984","End year of period","Number","223","units","0","v1299910362","1.1.6.7.3","2020","","","","0"
"2021","Canada","2016A000011124","Both sexes","Colon and rectum","Overall trend within the last ten years","Annual percent change (APC)","Percentage","242","units","0","v1299910365","1.1.6.8.1","-2.6","","","","1"
"2021","Canada","2016A000011124","Both sexes","Colon and rectum","Overall trend within the last ten years","Start year of period","Number","223","units","0","v1299910366","1.1.6.8.2","2011","","","","0"
"2021","Canada","2016A000011124","Both sexes","Colon and rectum","Overall trend within the last ten years","End year of period","Number","223","units","0","v1299910367","1.1.6.8.3","2020","","","","0"
"2021","Canada","2016A000011124","Both sexes","Colon excluding rectum","First trend","Annual percent change (APC)","Percentage","242","units","0","v1299910370","1.1.7.1.1","-1.0","","","","1"
"2021","Canada","2016A000011124","Both sexes","Colon excluding rectum","First trend","Start year of period","Number","223","units","0","v1299910371","1.1.7.1.2","1984","","","","0"
"2021","Canada","2016A000011124","Both sexes","Colon excluding rectum","First trend","End year of period","Number","223","units","0","v1299910372","1.1.7.1.3","2001","","","","0"
"2021","Canada","2016A000011124","Both sexes","Colon excluding rectum","Second trend","Annual percent change (APC)","Percentage","242","units","0","v1299910375","1.1.7.2.1","-2.6","","","","1"
"2021","Canada","2016A000011124","Both sexes","Colon excluding rectum","Second trend","Start year of period","Number","223","units","0","v1299910376","1.1.7.2.2","2001","","","","0"
"2021","Canada","2016A000011124","Both sexes","Colon excluding rectum","Second trend","End year of period","Number","223","units","0","v1299910377","1.1.7.2.3","2014","","","","0"
"2021","Canada","2016A000011124","Both sexes","Colon excluding rectum","Third trend","Annual percent change (APC)","Percentage","242","units","0","v1299910380","1.1.7.3.1","-4.3","","","","1"
"2021","Canada","2016A000011124","Both sexes","Colon excluding rectum","Third trend","Start year of period","Number","223","units","0","v1299910381","1.1.7.3.2","2014","","","","0"
"2021","Canada","2016A000011124","Both sexes","Colon excluding rectum","Third trend","End year of period","Number","223","units","0","v1299910382","1.1.7.3.3","2020","","","","0"
"2021","Canada","2016A000011124","Both sexes","Colon excluding rectum","Fourth trend","Annual percent change (APC)","Percentage","242","units","0","v1299910385","1.1.7.4.1","","..","","","1"
"2021","Canada","2016A000011124","Both sexes","Colon excluding rectum","Fourth trend","Start year of period","Number","223","units","0","v1299910386","1.1.7.4.2","","..","","","0"
"2021","Canada","2016A000011124","Both sexes","Colon excluding rectum","Fourth trend","End year of period","Number","223","units","0","v1299910387","1.1.7.4.3","","..","","","0"
"2021","Canada","2016A000011124","Both sexes","Colon excluding rectum","Fifth trend","Annual percent change (APC)","Percentage","242","units","0","v1299910390","1.1.7.5.1","","..","","","1"
"2021","Canada","2016A000011124","Both sexes","Colon excluding rectum","Fifth trend","Start year of period","Number","223","units","0","v1299910391","1.1.7.5.2","","..","","","0"
"2021","Canada","2016A000011124","Both sexes","Colon excluding rectum","Fifth trend","End year of period","Number","223","units","0","v1299910392","1.1.7.5.3","","..","","","0"
"2021","Canada","2016A000011124","Both sexes","Colon excluding rectum","Latest trend","Annual percent change (APC)","Percentage","242","units","0","v1299910395","1.1.7.6.1","-4.3","","","","1"
"2021","Canada","2016A000011124","Both sexes","Colon excluding rectum","Latest trend","Start year of period","Number","223","units","0","v1299910396","1.1.7.6.2","2014","","","","0"
"2021","Canada","2016A000011124","Both sexes","Colon excluding rectum","Latest trend","End year of period","Number","223","units","0","v1299910397","1.1.7.6.3","2020","","","","0"
"2021","Canada","2016A000011124","Both sexes","Colon excluding rectum","Overall trend since 1984","Annual percent change (APC)","Percentage","242","units","0","v1299910400","1.1.7.7.1","-2.1","","","","1"
"2021","Canada","2016A000011124","Both sexes","Colon excluding rectum","Overall trend since 1984","Start year of period","Number","223","units","0","v1299910401","1.1.7.7.2","1984","","","","0"
"2021","Canada","2016A000011124","Both sexes","Colon excluding rectum","Overall trend since 1984","End year of period","Number","223","units","0","v1299910402","1.1.7.7.3","2020","","","","0"
"2021","Canada","2016A000011124","Both sexes","Colon excluding rectum","Overall trend within the last ten years","Annual percent change (APC)","Percentage","242","units","0","v1299910405","1.1.7.8.1","-3.7","","","","1"
"2021","Canada","2016A000011124","Both sexes","Colon excluding rectum","Overall trend within the last ten years","Start year of period","Number","223","units","0","v1299910406","1.1.7.8.2","2011","","","","0"
"2021","Canada","2016A000011124","Both sexes","Colon excluding rectum","Overall trend within the last ten years","End year of period","Number","223","units","0","v1299910407","1.1.7.8.3","2020","","","","0"
"2021","Canada","2016A000011124","Both sexes","Rectum and rectosigmoid","First trend","Annual percent change (APC)","Percentage","242","units","0","v1299910410","1.1.8.1.1","-3.2","","","","1"
"2021","Canada","2016A000011124","Both sexes","Rectum and rectosigmoid","First trend","Start year of period","Number","223","units","0","v1299910411","1.1.8.1.2","1984","","","","0"
"2021","Canada","2016A000011124","Both sexes","Rectum and rectosigmoid","First trend","End year of period","Number","223","units","0","v1299910412","1.1.8.1.3","1991","","","","0"
"2021","Canada","2016A000011124","Both sexes","Rectum and rectosigmoid","Second trend","Annual percent change (APC)","Percentage","242","units","0","v1299910415","1.1.8.2.1","-1.9","","","","1"
"2021","Canada","2016A000011124","Both sexes","Rectum and rectosigmoid","Second trend","Start year of period","Number","223","units","0","v1299910416","1.1.8.2.2","1991","","","","0"
"2021","Canada","2016A000011124","Both sexes","Rectum and rectosigmoid","Second trend","End year of period","Number","223","units","0","v1299910417","1.1.8.2.3","2000","","","","0"
"2021","Canada","2016A000011124","Both sexes","Rectum and rectosigmoid","Third trend","Annual percent change (APC)","Percentage","242","units","0","v1299910420","1.1.8.3.1","0.9","","","","1"
"2021","Canada","2016A000011124","Both sexes","Rectum and rectosigmoid","Third trend","Start year of period","Number","223","units","0","v1299910421","1.1.8.3.2","2000","","","","0"
